,Unnamed: 0,ID,arrival_club,arrival_league,player_name,age,position,transfer_price,year_1,year_2,origin_club,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age_grouping_1,age_grouping_2,transfer_price_group1,transfer_price_group2,nationality,pot_fifa,ovr_fifa,height,overall_app,overall_gls,potential_fifa,overall_fifa,new_height,appearances,goals,N
204,204,1329,SS Lazio,Serie A,Lucas Biglia,27,Defensive Midfield,7.56,2013,Before2016,RSC Anderlecht,Other,M,Tier_2,Tier_4,U30,Under30,10Mto5M,20Mto5M,Argentina,78.0,76.0,5.8384,287.0,13.0,75to84,75to84,5.5to6,150to300,below20,SA
205,205,455,AC Milan,Serie A,Lucas Biglia,31,Defensive Midfield,17.28,2017,After2016,SS Lazio,Serie A,M,Tier_1,Tier_2,A30,Above30,40Mto10M,20Mto5M,Argentina,82.0,81.0,5.8384,396.0,26.0,75to84,75to84,5.5to6,300above,20to50,SA
214,214,1330,UC Sampdoria,Serie A,Joaquín Correa,20,Second Striker,7.56,2014,Before2016,Estudiantes,Other,F,Tier_2,Tier_4,U21,Under23,10Mto5M,20Mto5M,Argentina,75.0,70.90105720000001,6.1664,53.0,3.0,75to84,65to74,6to6.5,50to150,below20,SA
215,215,482,Sevilla FC,Primera Division,Joaquín Correa,21,Second Striker,16.38,2016,After2016,UC Sampdoria,Serie A,F,Tier_1,Tier_2,U21,Under23,40Mto10M,20Mto5M,Argentina,79.0,73.0,6.1664,84.0,6.0,75to84,65to74,6to6.5,50to150,below20,SA
216,216,619,SS Lazio,Serie A,Joaquín Correa,23,Second Striker,13.77,2018,After2016,Sevilla FC,Primera Division,F,Tier_2,Tier_1,U25,Under23,40Mto10M,20Mto5M,Argentina,84.0,74.0,6.1664,131.0,11.0,75to84,65to74,6to6.5,50to150,below20,SA
217,217,1092,Tottenham Hotspur,Premier League,Federico Fazio,27,Centre Back,9.0,2014,Before2016,Sevilla FC,Primera Division,D,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,Argentina,81.0,77.0,6.396,216.0,17.0,75to84,75to84,6to6.5,150to300,below20,SA
220,220,1252,AS Roma,Serie A,Diego Perotti,27,Left Winger,8.1,2016,After2016,Genoa CFC,Serie A,F,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,Argentina,79.0,77.0,5.8712,248.0,22.0,75to84,75to84,5.5to6,150to300,20to50,SA
222,222,1635,Sevilla FC,Primera Division,Éver Banega,29,Central Midfield,6.3,2017,After2016,Inter Milan,Serie A,M,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,Argentina,84.0,81.0,5.74,289.0,25.0,75to84,75to84,5.5to6,150to300,20to50,SA
224,224,431,Atlético Madrid,Primera Division,Luciano Vietto,21,Centre Forward,18.0,2015,Before2016,Villarreal CF,Primera Division,F,Tier_1,Tier_1,U21,Under23,40Mto10M,20Mto5M,Argentina,85.0,73.0,5.7072,101.0,30.0,85above,65to74,5.5to6,50to150,20to50,SA
225,225,1503,Sporting CP,Other,Luciano Vietto,25,Centre Forward,6.75,2019,After2016,Atlético Madrid,Primera Division,F,Tier_2,Tier_1,U25,Under30,10Mto5M,20Mto5M,Argentina,77.0,78.0,5.7072,126.0,31.0,75to84,75to84,5.5to6,50to150,20to50,SA
230,230,1525,Atlético Madrid,Primera Division,Ángel Correa,19,Right Winger,6.75,2014,Before2016,San Lorenzo,Other,F,Tier_1,Tier_4,U21,Under23,10Mto5M,20Mto5M,Argentina,86.0,70.90105720000001,5.6088,48.0,10.0,85above,65to74,5.5to6,below50,below20,SA
239,239,1212,AS Monaco,Ligue 1,Guido Carrillo,24,Centre Forward,8.1,2015,Before2016,Estudiantes,Other,F,Tier_1,Tier_4,U25,Under30,10Mto5M,20Mto5M,Argentina,77.0,69.0,6.1664,118.0,28.0,75to84,65to74,6to6.5,50to150,20to50,SA
240,240,354,Southampton FC,Premier League,Guido Carrillo,26,Centre Forward,19.8,2017,After2016,AS Monaco,Ligue 1,F,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,Argentina,77.0,72.0,6.1664,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,SA
243,243,543,Cardiff City,Premier League,Emiliano Sala,28,Centre Forward,15.3,2018,After2016,FC Nantes,Ligue 1,F,Tier_3,Tier_3,U30,Under30,40Mto10M,20Mto5M,Argentina,79.0,76.0,6.1336,136.1753754,20.22582583,75to84,75to84,6to6.5,50to150,20to50,SA
244,244,1505,Olympique Marseille,Ligue 1,Lucas Ocampos,20,Left Winger,6.75,2015,Before2016,AS Monaco,Ligue 1,F,Tier_1,Tier_1,U21,Under23,10Mto5M,20Mto5M,Argentina,80.0,74.0,6.1336,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,SA
245,245,676,Sevilla FC,Primera Division,Lucas Ocampos,24,Left Winger,13.5,2019,After2016,Olympique Marseille,Ligue 1,F,Tier_1,Tier_1,U25,Under30,40Mto10M,20Mto5M,Argentina,80.0,76.0,6.1336,136.1753754,20.22582583,75to84,75to84,6to6.5,50to150,20to50,SA
248,248,808,Everton FC,Premier League,Ramiro Funes Mori,24,Centre Back,11.61,2015,Before2016,River Plate,Other,D,Tier_1,Tier_4,U25,Under30,40Mto10M,20Mto5M,Argentina,78.12781955,70.90105720000001,6.1008,76.0,7.0,75to84,65to74,6to6.5,50to150,below20,SA
249,249,1241,Villarreal CF,Primera Division,Ramiro Funes Mori,27,Centre Back,8.1,2018,After2016,Everton FC,Premier League,D,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,Argentina,80.0,77.0,6.1008,131.0,11.0,75to84,75to84,6to6.5,50to150,below20,SA
250,250,1430,Atlético Madrid,Primera Division,Matías Kranevitter,22,Defensive Midfield,7.2,2015,Before2016,River Plate,Other,M,Tier_1,Tier_4,U25,Under23,10Mto5M,20Mto5M,Argentina,78.0,68.0,5.8384,58.0,0.0,75to84,65to74,5.5to6,50to150,below20,SA
251,251,1415,Zenit St. Petersburg,Other,Matías Kranevitter,24,Defensive Midfield,7.2,2017,After2016,Atlético Madrid,Primera Division,M,Tier_1,Tier_1,U25,Under30,10Mto5M,20Mto5M,Argentina,85.0,76.0,5.8384,66.0,0.0,85above,75to84,5.5to6,50to150,below20,SA
253,253,1259,ACF Fiorentina,Serie A,Germán Pezzella,27,Centre Back,8.1,2018,After2016,Real Betis Balompié,Primera Division,D,Tier_1,Tier_2,U30,Under30,10Mto5M,20Mto5M,Argentina,81.0,78.0,6.232,130.0,9.0,75to84,75to84,6to6.5,50to150,below20,SA
255,255,1879,AS Roma,Serie A,Leandro Paredes,21,Defensive Midfield,5.4,2015,Before2016,Boca Juniors,Other,M,Tier_1,Tier_4,U21,Under23,10Mto5M,20Mto5M,Argentina,76.0,69.0,5.904,28.0,5.0,75to84,65to74,6to6.5,below50,below20,SA
256,256,330,Zenit St. Petersburg,Other,Leandro Paredes,23,Defensive Midfield,20.7,2017,After2016,AS Roma,Serie A,M,Tier_1,Tier_1,U25,Under23,40Mto10M,60Mto20M,Argentina,84.0,74.0,5.904,66.0,9.0,75to84,65to74,6to6.5,50to150,below20,SA
257,257,90,Paris Saint-Germain,Ligue 1,Leandro Paredes,24,Defensive Midfield,36.0,2018,After2016,Zenit St. Petersburg,Other,M,Tier_1,Tier_1,U25,Under30,40Mto10M,60Mto20M,Argentina,85.0,77.0,5.904,136.1753754,20.22582583,85above,75to84,6to6.5,50to150,20to50,SA
261,261,1633,Real Sociedad,Primera Division,Gerónimo Rulli,24,Goalkeeper,6.3,2016,After2016,Manchester City,Premier League,GK,Tier_2,Tier_1,U25,Under30,10Mto5M,20Mto5M,Argentina,85.0,76.0,6.1992,50.0,0.0,85above,75to84,6to6.5,50to150,below20,SA
264,264,1304,Olympique Lyon,Ligue 1,Emanuel Mammana,20,Centre Back,7.65,2016,After2016,River Plate,Other,D,Tier_1,Tier_4,U21,Under23,10Mto5M,20Mto5M,Argentina,79.0,63.0,6.0352,24.0,1.0,75to84,below65,6to6.5,below50,below20,SA
265,265,589,Zenit St. Petersburg,Other,Emanuel Mammana,21,Centre Back,14.4,2017,After2016,Olympique Lyon,Ligue 1,D,Tier_1,Tier_1,U21,Under23,40Mto10M,20Mto5M,Argentina,86.0,66.0,6.0352,41.0,2.0,85above,65to74,6to6.5,below50,below20,SA
267,267,549,ACF Fiorentina,Serie A,Giovanni Simeone,22,Centre Forward,15.3,2017,After2016,Genoa CFC,Serie A,F,Tier_1,Tier_1,U25,Under23,40Mto10M,20Mto5M,Argentina,85.0,67.0,5.904,96.0,26.0,85above,65to74,6to6.5,50to150,20to50,SA
270,270,881,West Ham United,Premier League,Manuel Lanzini,23,Attacking Midfield,10.8,2016,After2016,Al-Jazira,Other,M,Tier_1,Tier_4,U25,Under23,40Mto10M,20Mto5M,Argentina,84.0,70.90105720000001,5.4776,145.0,24.0,75to84,65to74,below5.5,50to150,20to50,SA
